titulo;empresa;pais;ciudad_limpia;ubicacion_raw;salario_medio_ppp_2024;indice_coste_vida_2024;indice_alquiler_2024;salario_real_ajustado;modalidad;es_teletrabajo;desc_longitud;url
Data Analyst (Codefinity);Genesis;ES;Madrid;Madrid, Madrid provincia;54564.408;48.7;18.2;112041.91;Presencial;False;95;https://es.indeed.com/viewjob?jk=c0a5db546f0c47f3
Compliance Analyst - KYB;Binance;ES;;Teletrabajo;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;81;https://es.indeed.com/viewjob?jk=50e105960c9f3b63
Business Analyst Intern, GIII (Karl Lagerfeld y DKNY) - Madrid;All We Wear Group;ES;Madrid;Madrid, Madrid provincia;54564.408;48.7;18.2;112041.91;Presencial;False;147;https://es.indeed.com/viewjob?jk=88afe51355fec63d
Food Operations Data Integration Analyst;Stolt-Nielsen B.V.;ES;Santiago De Compostela;Santiago de Compostela, A Coruña provincia;54564.408;48.7;18.2;112041.91;Presencial;False;139;https://es.indeed.com/viewjob?jk=b751b871c30bac74
Senior Data Analyst;Turner & Townsend;ES;Madrid;Madrid, Madrid provincia;54564.408;48.7;18.2;112041.91;Presencial;False;99;https://es.indeed.com/viewjob?jk=55ce33b41031ed8b
Business Data Analyst - Lab process reengineering.;Eurofins;ES;Murcia;Murcia, Murcia provincia;54564.408;48.7;18.2;112041.91;Presencial;False;164;https://es.indeed.com/viewjob?jk=3fa0c43ee5249de4
Product Analyst (Codefinity);Genesis;ES;Madrid;Madrid, Madrid provincia;54564.408;48.7;18.2;112041.91;Presencial;False;98;https://es.indeed.com/viewjob?jk=43ee911c505193bc
Business Intelligence Analyst (Filled);Securitas Direct España S.A.U;ES;Pozuelo De Alarcón;Trabajo híbrido in 28223 Pozuelo de Alarcón, Madrid provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;254;https://es.indeed.com/viewjob?jk=e14f3ee19ae21c4d
Senior Data Analyst (English Mandatory);Sopra Steria;ES;Barcelona;08011 Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Presencial;False;163;https://es.indeed.com/viewjob?jk=79a593cf3f137459
KYB Analyst;Satispay;ES;Barcelona;Trabajo híbrido in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;126;https://es.indeed.com/viewjob?jk=365409c5001b5bef
Sin Título;;ES;Desconocido;;54564.408;48.7;18.2;112041.91;Presencial;False;0;https://es.indeed.com/viewjob?jk=f1e2d3c4b5a67890
